label,message
spam,Oferta exclusiva solo por hoy. Obtén 50% de descuento.
ham,"Feliz cumpleaños, que tengas un gran día."
ham,"Estoy en camino, llego en 10 minutos."
spam,Promoción válida hasta medianoche.
spam,Descuento especial solo para ti.
spam,Activa tu tarjeta gratis enviando tus datos ahora.
ham,Te envío el informe esta noche.
ham,"Hola, ¿nos vemos mañana a las 3pm?"
spam,Gana premios en efectivo enviando ESTE mensaje.
ham,Te escribo más tarde.
spam,Gana dinero rápido desde casa. Regístrate ahora.
spam,Haz clic y gana un iPhone gratis.
ham,Llegué bien a casa.
spam,Última oportunidad para reclamar tu premio.
ham,Estoy afuera de tu casa.
ham,Ya envié el archivo actualizado.
ham,Te llamo en un momento.
spam,Has sido elegido para un bono especial.
spam,¡Felicidades! Has ganado un premio de 1000 dólares. Haz clic aquí ahora.
spam,Has sido seleccionado para un crédito inmediato. Responde SI.
ham,¿Confirmas tu asistencia al evento?
ham,Gracias por la información.
spam,Crédito preaprobado disponible hoy.
spam,Seguro aprobado sin revisión. Aplica ahora.
ham,Gracias por tu ayuda hoy.
ham,Te paso los apuntes por correo.
ham,¿Terminaste el reporte?
ham,Mañana tenemos capacitación.
spam,Tu cuenta ha sido bloqueada. Verifícala aquí.
ham,Nos vemos el sábado.
spam,Recibe dinero fácil sin esfuerzo.
ham,No olvides la reunión de hoy.
spam,Suscríbete y obtén beneficios exclusivos.
spam,Premio garantizado. Responde YA.
spam,Tu préstamo fue aprobado. Confirma aquí.
ham,Vamos a almorzar a la 1pm.
ham,Buen trabajo con la presentación.
spam,Regalo sorpresa esperando por ti.
spam,Obtén ingresos extras desde tu celular.
ham,La reunión fue movida para el lunes.
ham,Nos vemos en el gimnasio más tarde.
ham,¿Puedes llamarme cuando llegues?
spam,Invierte hoy y duplica tu dinero.
spam,Compra ahora y paga después.
spam,Oferta limitada. Compra ahora.
ham,¿Puedes revisar este documento?
ham,Avísame cuando estés disponible.
spam,Promoción especial. Compra uno y lleva dos.
spam,Accede a contenido premium gratis.
ham,Recuerda pagar el recibo antes del viernes.
